city,state,state_name,county,lat,lng,population,density,timezone,zips
"West Palm Beach","FL","Florida","Palm Beach","26.7469","-80.132","119508","856.5","America/New_York","33411,33412,33417,33409,33407,33405,33401,33402,33422"
"Burlington","VT","Vermont","Chittenden","44.4876","-73.2316","118409","1673.2","America/New_York","05405,05401,05408,05406"
"Seaside","CA","California","Monterey","36.6224","-121.8199","118398","1383","America/Los_Angeles","93955"
"Richardson","TX","Texas","Dallas","32.9716","-96.7093","118269","1598.8","America/Chicago","75081,75080,75082,75045,75083,75085"
"Cambridge","MA","Massachusetts","Middlesex","42.3759","-71.1185","117794","7109.8","America/New_York","02142,02140,02141,02139,02138,02238,02477"
"Monroe","LA","Louisiana","Ouachita","32.5185","-92.0774","117507","613.5","America/Chicago","71212,71209,71203,71202,71201,71207,71210,71213,71217"
"North Charleston","SC","South Carolina","Charleston","32.9067","-80.0722","117460","581.7","America/New_York","29420,29456,29485,29404,29405,29406,29418,29416,29419,29423"
"Saginaw","MI","Michigan","Saginaw","43.4199","-83.9501","117412","991","America/Detroit","48602,48607,48601,48606,48663"
"Clearwater","FL","Florida","Pinellas","27.979","-82.7623","117075","1726.6","America/New_York","33759,33755,33756,33763,33761,33767,33764,33765,33757,33758,33766,33769"
"The Woodlands","TX","Texas","Montgomery","30.1738","-95.5134","116916","1043.1","America/Chicago","77381,77384,77380,77382,77389,77393"
"Brandon","FL","Florida","Hillsborough","27.9367","-82.3","116365","1356","America/New_York","33510,33594,33619,33511,33584,33508,33509,33595"
"St. Cloud","MN","Minnesota","Stearns","45.534","-94.1718","116347","671.3","America/Chicago","56304,56301,56303,56302,56372,56393,56395,56396"
"West Jordan","UT","Utah","Salt Lake","40.6024","-112.0008","116277","1377.7","America/Denver","84088,84081,84084"
"Broken Arrow","OK","Oklahoma","Tulsa","36.038","-95.7806","115919","710.9","America/Chicago","74014,74011,74012,74013"
"Harlingen","TX","Texas","Cameron","26.1916","-97.6977","115767","687.2","America/Chicago","78550,78552,78551,78553"
"Kailua","HI","Hawaii","Honolulu","21.392","-157.7396","115634","1975.3","Pacific/Honolulu","96734"
"Westminster","CO","Colorado","Adams","39.8837","-105.0624","115546","1410.9","America/Denver","80030,80031,80234,80005,80003,80021,80020,80035,80036"
"Gilroy","CA","California","Santa Clara","37.0046","-121.5854","115448","1367.4","America/Los_Angeles","95020"
"Richmond","CA","California","Contra Costa","37.9477","-122.3389","115396","1483.1","America/Los_Angeles","94530,94801,94803,94804,94805,94806,94802,94807,94808,94850"
"Mandeville","LA","Louisiana","St. Tammany","30.3751","-90.0904","115292","539.4","America/Chicago","70448,70471,70470"
"Utica","NY","New York","Oneida","43.0962","-75.2261","114961","1487.9","America/New_York","13501,13502,13503,13504,13505,13599"
"Ponce","PR","Puerto Rico","Ponce","18.0127","-66.6212","114940","1494.8","America/Puerto_Rico","00728,00717,00716,00730,00732,00733,00734"
"League City","TX","Texas","Galveston","29.4874","-95.1087","114885","863.7","America/Chicago","77573,77598,77511,77539,77565,77574,77592"
"Port Arthur","TX","Texas","Jefferson","29.8554","-93.9264","114860","285.1","America/Chicago","77655,77640,77642,77641,77643"
"Lowell","MA","Massachusetts","Middlesex","42.6389","-71.3217","114799","3256.6","America/New_York","01851,01850,01852,01854,01853"
